Gender|Customer Type|Age|Type of Travel|Class|Flight Distance|Food and drink|On-board service|Leg room service|Departure Delay in Minutes|satisfaction|Customer ID|isPilot
Male|Loyal Customer|48.0|Personal Travel|Eco|773|3|4|5|0|satisfied|47083|False
Male|Loyal Customer|56.0|Personal Travel|Eco|1084|3|4|4|0|neutral or dissatisfied|47084|False
Female|Loyal Customer|60.0|Business travel|Business|2521|5|4|4|0|satisfied|47085|False
Female|Loyal Customer|60.0|Personal Travel|Eco|349|1|3|1|26|neutral or dissatisfied|47086|False
Female|disloyal Customer|20.0|Business travel|Eco|873|1|1|3|0|neutral or dissatisfied|47087|False
Male|Loyal Customer|15.0|Personal Travel|Eco|216|4|3|5|0|neutral or dissatisfied|47088|False
Male|Loyal Customer|37.0|Business travel|Business|2503|1|3|2|0|satisfied|47089|False
Male|Loyal Customer|54.0|Personal Travel|Eco|532|4|4|3|0|neutral or dissatisfied|47090|False
Male|Loyal Customer|52.0|Business travel|Business|3827|5|4|5|0|satisfied|47091|False
Female|Loyal Customer|23.0|Personal Travel|Eco|998|1|5|4|48|neutral or dissatisfied|47092|False
Male|disloyal Customer|34.0|Business travel|Business|689|5|5|2|0|neutral or dissatisfied|47093|False
Female|Loyal Customer|10.0|Personal Travel|Business|56|5|3|5|5|neutral or dissatisfied|47094|False
Male|Loyal Customer|60.0|Business travel|Business|2667|4|4|4|0|satisfied|47095|False
Female|disloyal Customer|26.0|Business travel|Business|802|3|3|3|13|satisfied|47096|False
Female|disloyal Customer|22.0|Business travel|Eco|1182|5|5|2|0|neutral or dissatisfied|47097|False
Female|disloyal Customer|85.0|Business travel|Eco|366|3|1|2|0|neutral or dissatisfied|47098|False
Male|disloyal Customer|28.0|Business travel|Business|516|3|3|5|35|satisfied|47099|False
Male|Loyal Customer|49.0|Personal Travel|Eco|404|3|5|3|43|neutral or dissatisfied|47100|False
Female|disloyal Customer|27.0|Business travel|Business|406|4|4|2|3|satisfied|47101|False
Male|Loyal Customer|13.0|Personal Travel|Eco|748|4|4|3|0|neutral or dissatisfied|47102|False
Male|Loyal Customer|24.0|Personal Travel|Eco|647|3|4|2|69|neutral or dissatisfied|47103|False
Male|Loyal Customer|34.0|Personal Travel|Business|236|5|1|1|0|neutral or dissatisfied|47104|False
Female|Loyal Customer|67.0|Business travel|Business|1368|2|3|3|39|neutral or dissatisfied|47105|False
Female|Loyal Customer|36.0|Business travel|Eco|794|4|3|5|77|satisfied|47106|False
Female|disloyal Customer|27.0|Business travel|Eco|733|5|4|2|0|neutral or dissatisfied|47107|False
Female|Loyal Customer|33.0|Personal Travel|Eco|898|3|2|2|2|satisfied|47108|False
Female|Loyal Customer|57.0|Business travel|Business|2566|3|4|4|0|satisfied|47109|False
Female|Loyal Customer|35.0|Business travel|Business|1499|5|5|5|2|satisfied|47110|False
Male|Loyal Customer|37.0|Business travel|Business|3736|2|2|1|0|neutral or dissatisfied|47111|False
Female|Loyal Customer|25.0|Business travel|Business|1303|4|5|5|21|satisfied|47112|False
Female|Loyal Customer|37.0|Business travel|Business|306|3|4|4|0|neutral or dissatisfied|47113|False
Female|disloyal Customer|30.0|Business travel|Eco Plus|545|1|3|4|7|neutral or dissatisfied|47114|False
Female|Loyal Customer|30.0|Business travel|Business|2105|5|2|5|194|satisfied|47115|False
Male|disloyal Customer|30.0|Business travel|Business|992|4|5|3|0|satisfied|47116|False
Female|Loyal Customer|50.0|Business travel|Business|2658|3|5|5|0|satisfied|47117|False
Male|Loyal Customer|40.0|Business travel|Business|1024|2|3|3|0|satisfied|47118|False
Male|Loyal Customer|69.0|Personal Travel|Eco|2306|5|2|2|67|neutral or dissatisfied|47119|False
Female|Loyal Customer|68.0|Personal Travel|Eco|862|5|2|2|2|neutral or dissatisfied|47120|False
Female|disloyal Customer|23.0|Business travel|Eco|1209|1|5|4|1|neutral or dissatisfied|47121|False
Male|Loyal Customer|9.0|Personal Travel|Eco|293|4|3|2|0|neutral or dissatisfied|47122|False
Male|Loyal Customer|45.0|Business travel|Business|2736|3|4|4|0|satisfied|47123|False
Female|Loyal Customer|60.0|Business travel|Eco Plus|406|5|4|4|31|satisfied|47124|False
Male|disloyal Customer|10.0|Business travel|Eco|862|1|2|3|0|neutral or dissatisfied|47125|False
Female|Loyal Customer|23.0|Business travel|Business|1855|5|4|4|4|satisfied|47126|False
Male|disloyal Customer|23.0|Business travel|Eco|236|4|2|5|0|neutral or dissatisfied|47127|False
Male|Loyal Customer|34.0|Business travel|Business|1504|4|2|1|3|neutral or dissatisfied|47128|False
Female|Loyal Customer|17.0|Business travel|Business|2822|3|1|4|16|neutral or dissatisfied|47129|False
Male|Loyal Customer|46.0|Personal Travel|Eco|1399|3|1|1|0|neutral or dissatisfied|47130|False
Female|Loyal Customer|53.0|Business travel|Business|1560|2|4|4|0|satisfied|47131|False
Female|Loyal Customer|51.0|Business travel|Business|1972|3|4|4|10|satisfied|47132|False
Male|Loyal Customer|25.0|Personal Travel|Eco|216|5|1|4|0|neutral or dissatisfied|47133|False
Female|Loyal Customer|37.0|Business travel|Eco|106|5|3|3|30|satisfied|47134|False
Female|Loyal Customer|23.0|Business travel|Eco Plus|950|2|4|1|0|satisfied|47135|False
Female|Loyal Customer|41.0|Personal Travel|Eco|460|3|3|5|0|satisfied|47136|False
Male|Loyal Customer|32.0|Personal Travel|Eco|110|5|4|3|0|satisfied|47137|False
Female|Loyal Customer|39.0|Personal Travel|Eco|967|1|5|3|0|neutral or dissatisfied|47138|False
Male|Loyal Customer|50.0|Business travel|Business|2342|3|5|5|0|satisfied|47139|False
Female|Loyal Customer|32.0|Business travel|Business|3251|3|4|5|3|satisfied|47140|False
Female|Loyal Customer|32.0|Business travel|Eco|1399|3|2|4|10|neutral or dissatisfied|47141|False
Male|Loyal Customer|26.0|Business travel|Business|3103|4|3|2|17|satisfied|47142|False
Female|Loyal Customer|31.0|Personal Travel|Eco|158|3|1|2|0|neutral or dissatisfied|47143|False
Female|Loyal Customer|47.0|Business travel|Business|1588|3|2|3|22|neutral or dissatisfied|47144|False
Female|Loyal Customer|57.0|Business travel|Business|3516|3|4|4|20|satisfied|47145|False
Female|Loyal Customer|40.0|Business travel|Business|1803|2|4|4|8|satisfied|47146|False
Female|Loyal Customer|39.0|Personal Travel|Eco|544|3|1|1|0|neutral or dissatisfied|47147|False
Male|Loyal Customer|33.0|Business travel|Business|2610|5|5|1|0|satisfied|47148|False
Female|Loyal Customer|45.0|Personal Travel|Eco|337|5|3|3|0|neutral or dissatisfied|47149|False
Female|Loyal Customer|53.0|Personal Travel|Business|1299|5|3|0|0|satisfied|47150|False
Male|Loyal Customer|50.0|Business travel|Business|869|2|2|2|64|neutral or dissatisfied|47151|False
Female|Loyal Customer|50.0|Business travel|Business|1346|4|5|5|26|satisfied|47152|False
Female|Loyal Customer|45.0|Business travel|Business|2842|5|4|4|0|satisfied|47153|False
Male|Loyal Customer|26.0|Personal Travel|Eco|679|5|3|2|0|neutral or dissatisfied|47154|False
Female|disloyal Customer|30.0|Business travel|Eco|515|4|3|1|0|neutral or dissatisfied|47155|False
Female|Loyal Customer|51.0|Business travel|Business|1844|2|5|5|0|satisfied|47156|False
Male|Loyal Customer|31.0|Personal Travel|Eco Plus|674|2|1|3|92|neutral or dissatisfied|47157|False
Female|Loyal Customer|55.0|Business travel|Business|2889|4|4|4|15|satisfied|47158|False
Male|Loyal Customer|66.0|Personal Travel|Eco|679|3|5|3|0|neutral or dissatisfied|47159|False
Female|Loyal Customer|52.0|Business travel|Business|3669|5|4|4|12|satisfied|47160|False
Male|disloyal Customer|20.0|Business travel|Eco|349|2|3|3|0|satisfied|47161|False
Female|disloyal Customer|23.0|Business travel|Eco|338|1|4|5|6|neutral or dissatisfied|47162|False
Male|disloyal Customer|27.0|Business travel|Eco|663|2|4|1|12|neutral or dissatisfied|47163|False
Male|Loyal Customer|17.0|Personal Travel|Eco|998|3|2|1|0|neutral or dissatisfied|47164|False
Male|Loyal Customer|55.0|Business travel|Business|3070|1|3|2|1|neutral or dissatisfied|47165|False
Female|Loyal Customer|59.0|Business travel|Business|2599|2|5|5|0|satisfied|47166|False
Female|Loyal Customer|57.0|Business travel|Eco|177|1|4|4|0|neutral or dissatisfied|47167|False
Female|Loyal Customer|12.0|Personal Travel|Eco Plus|787|5|3|2|14|neutral or dissatisfied|47168|False
Female|Loyal Customer|43.0|Business travel|Eco|508|2|4|4|8|satisfied|47169|False
Male|Loyal Customer|43.0|Business travel|Business|3537|4|5|5|5|satisfied|47170|False
Male|Loyal Customer|31.0|Business travel|Eco|2065|5|2|4|0|satisfied|47171|False
Male|Loyal Customer|70.0|Personal Travel|Eco|685|5|3|3|0|neutral or dissatisfied|47172|False
Male|disloyal Customer|7.0|Business travel|Eco|862|4|3|2|0|neutral or dissatisfied|47173|False
Female|Loyal Customer|62.0|Personal Travel|Eco|551|3|1|3|6|neutral or dissatisfied|47174|False
Male|Loyal Customer|45.0|Personal Travel|Eco|223|3|2|2|5|neutral or dissatisfied|47175|False
Male|Loyal Customer|37.0|Personal Travel|Eco|759|5|3|2|0|neutral or dissatisfied|47176|False
Female|Loyal Customer|44.0|Business travel|Business|1069|2|3|3|0|neutral or dissatisfied|47177|False
Female|Loyal Customer|50.0|Personal Travel|Business|867|5|1|0|0|neutral or dissatisfied|47178|False
Male|Loyal Customer|13.0|Personal Travel|Eco|423|5|4|1|11|neutral or dissatisfied|47179|False
Female|disloyal Customer|23.0|Business travel|Eco|735|1|5|4|0|satisfied|47180|False
Male|Loyal Customer|30.0|Personal Travel|Eco|270|2|4|5|0|satisfied|47181|False
Female|Loyal Customer|67.0|Personal Travel|Eco|356|5|2|4|0|neutral or dissatisfied|47182|False
Male|Loyal Customer|10.0|Personal Travel|Eco|888|4|4|2|9|neutral or dissatisfied|47183|False
Female|Loyal Customer|52.0|Business travel|Eco|488|4|2|2|0|neutral or dissatisfied|47184|False
Female|Loyal Customer|53.0|Business travel|Business|1411|2|4|5|0|satisfied|47185|False
Male|Loyal Customer|32.0|Business travel|Business|2362|2|5|3|0|satisfied|47186|False
Male|disloyal Customer|24.0|Business travel|Eco|1249|4|2|3|0|satisfied|47187|False
Male|Loyal Customer|61.0|Personal Travel|Eco|354|1|5|4|0|neutral or dissatisfied|47188|False
Male|Loyal Customer|41.0|Business travel|Business|108|2|5|5|5|satisfied|47189|False
Female|Loyal Customer|53.0|Business travel|Business|1372|3|4|4|0|satisfied|47190|False
Female|Loyal Customer|33.0|Business travel|Business|2227|4|5|5|0|satisfied|47191|False
Female|Loyal Customer|41.0|Business travel|Business|2240|5|4|4|0|satisfied|47192|False
Male|Loyal Customer|51.0|Business travel|Business|3464|5|4|4|0|neutral or dissatisfied|47193|False
Male|Loyal Customer|45.0|Business travel|Business|258|3|5|5|36|satisfied|47194|False
Female|Loyal Customer|7.0|Personal Travel|Eco|140|5|1|5|0|neutral or dissatisfied|47195|False
Female|Loyal Customer|35.0|Business travel|Business|1084|3|4|4|5|satisfied|47196|False
Male|disloyal Customer|48.0|Business travel|Eco|302|3|5|4|0|satisfied|47197|False
Male|Loyal Customer|18.0|Personal Travel|Eco|283|2|2|5|0|neutral or dissatisfied|47198|False
Female|Loyal Customer|29.0|Business travel|Business|2475|5|3|4|1|satisfied|47199|False
Female|Loyal Customer|52.0|Personal Travel|Eco Plus|1014|5|1|4|6|satisfied|47200|False
Female|Loyal Customer|40.0|Business travel|Eco|108|4|2|5|0|satisfied|47201|False
Male|Loyal Customer|8.0|Personal Travel|Eco|295|5|1|5|0|neutral or dissatisfied|47202|False
Female|Loyal Customer|30.0|Business travel|Business|1736|4|4|4|3|satisfied|47203|False
Female|Loyal Customer|42.0|Personal Travel|Eco|859|3|5|1|3|neutral or dissatisfied|47204|False
Female|disloyal Customer|38.0|Business travel|Eco|216|4|3|4|187|neutral or dissatisfied|47205|False
Female|disloyal Customer|50.0|Business travel|Eco|546|3|2|1|0|neutral or dissatisfied|47206|False
Female|Loyal Customer|49.0|Business travel|Business|323|2|3|2|2|neutral or dissatisfied|47207|False
Male|Loyal Customer|44.0|Business travel|Business|3765|5|5|5|150|satisfied|47208|False
Female|disloyal Customer|23.0|Business travel|Business|777|3|3|5|0|satisfied|47209|False
Male|Loyal Customer|12.0|Personal Travel|Eco|337|1|1|2|17|neutral or dissatisfied|47210|False
Male|disloyal Customer|21.0|Business travel|Eco|468|4|3|2|17|neutral or dissatisfied|47211|False
Male|Loyal Customer|70.0|Business travel|Business|447|2|5|5|0|satisfied|47212|False
Female|Loyal Customer|52.0|Business travel|Business|214|4|2|2|4|neutral or dissatisfied|47213|False
Female|Loyal Customer|38.0|Business travel|Eco Plus|404|3|3|4|0|neutral or dissatisfied|47214|False
Male|Loyal Customer|34.0|Personal Travel|Eco|391|4|1|4|0|neutral or dissatisfied|47215|False
Female|Loyal Customer|59.0|Business travel|Business|1142|2|5|4|0|satisfied|47216|False
Female|Loyal Customer|34.0|Personal Travel|Eco|861|3|3|3|2|neutral or dissatisfied|47217|False
Male|Loyal Customer|58.0|Personal Travel|Eco|196|4|3|2|0|neutral or dissatisfied|47218|False
Male|Loyal Customer|38.0|Business travel|Business|3733|2|4|4|0|satisfied|47219|False
Male|Loyal Customer|45.0|Business travel|Business|2935|1|3|3|16|neutral or dissatisfied|47220|False
Male|Loyal Customer|28.0|Business travel|Business|2357|2|1|4|0|neutral or dissatisfied|47221|False
Female|Loyal Customer|48.0|Business travel|Eco|929|3|1|1|0|neutral or dissatisfied|47222|False
Female|Loyal Customer|29.0|Business travel|Business|2053|4|3|4|19|neutral or dissatisfied|47223|False
Male|Loyal Customer|14.0|Personal Travel|Eco|700|4|3|4|0|satisfied|47224|False
Female|Loyal Customer|7.0|Personal Travel|Business|912|4|4|5|0|neutral or dissatisfied|47225|False
Male|Loyal Customer|54.0|Business travel|Business|2300|4|2|2|10|satisfied|47226|False
Female|Loyal Customer|64.0|Personal Travel|Eco|1609|5|5|4|30|satisfied|47227|False
Female|Loyal Customer|49.0|Business travel|Business|414|2|2|2|0|satisfied|47228|False
Female|Loyal Customer|45.0|Personal Travel|Business|283|2|4|3|15|neutral or dissatisfied|47229|False
Male|Loyal Customer|35.0|Personal Travel|Eco|1744|4|4|2|0|neutral or dissatisfied|47230|False
Male|Loyal Customer|46.0|Business travel|Business|1389|5|5|5|0|satisfied|47231|False
Male|Loyal Customer|58.0|Personal Travel|Eco|190|5|1|2|21|neutral or dissatisfied|47232|False
Female|Loyal Customer|26.0|Personal Travel|Eco|253|2|3|2|0|neutral or dissatisfied|47233|False
Female|Loyal Customer|24.0|Personal Travel|Eco|2586|3|2|3|0|neutral or dissatisfied|47234|False
Female|Loyal Customer|49.0|Business travel|Business|89|5|5|5|0|satisfied|47235|False
Male|disloyal Customer|24.0|Business travel|Eco|308|2|5|5|0|satisfied|47236|False
Female|Loyal Customer|16.0|Personal Travel|Business|533|5|4|5|0|neutral or dissatisfied|47237|False
Female|Loyal Customer|61.0|Business travel|Eco Plus|689|2|2|2|0|neutral or dissatisfied|47238|False
Female|disloyal Customer|29.0|Business travel|Eco|946|1|2|1|82|neutral or dissatisfied|47239|False
Female|Loyal Customer|18.0|Business travel|Business|529|4|4|5|0|satisfied|47240|False
Male|Loyal Customer|26.0|Personal Travel|Eco|1069|1|3|5|16|neutral or dissatisfied|47241|False
Female|disloyal Customer|23.0|Business travel|Eco|270|4|4|2|11|neutral or dissatisfied|47242|False
Female|Loyal Customer|42.0|Business travel|Business|925|4|4|4|11|satisfied|47243|False
Male|Loyal Customer|53.0|Personal Travel|Eco|2504|2|2|3|0|neutral or dissatisfied|47244|False
Male|Loyal Customer|10.0|Personal Travel|Eco|925|4|1|5|0|neutral or dissatisfied|47245|False
Male|Loyal Customer|60.0|Business travel|Eco|391|2|3|3|0|satisfied|47246|False
Male|Loyal Customer|30.0|Personal Travel|Eco|1999|5|5|4|9|neutral or dissatisfied|47247|False
Male|Loyal Customer|44.0|Personal Travel|Eco|134|4|1|3|0|neutral or dissatisfied|47248|False
Male|Loyal Customer|32.0|Personal Travel|Eco|563|5|5|2|9|neutral or dissatisfied|47249|False
Female|disloyal Customer|37.0|Business travel|Business|550|3|4|4|3|neutral or dissatisfied|47250|False
Female|Loyal Customer|53.0|Business travel|Business|200|5|4|4|0|satisfied|47251|False
Female|Loyal Customer|56.0|Personal Travel|Eco|1448|4|1|4|0|satisfied|47252|False
Female|Loyal Customer|40.0|Personal Travel|Eco|674|1|5|5|0|satisfied|47253|False
Female|Loyal Customer|56.0|Personal Travel|Eco|227|2|5|3|82|neutral or dissatisfied|47254|False
Female|Loyal Customer|40.0|Personal Travel|Eco|159|2|4|3|0|neutral or dissatisfied|47255|False
Male|Loyal Customer|17.0|Personal Travel|Eco|931|5|4|5|0|satisfied|47256|False
Male|Loyal Customer|43.0|Business travel|Eco Plus|601|5|5|1|0|satisfied|47257|False
Male|disloyal Customer|23.0|Business travel|Eco|297|2|5|2|0|neutral or dissatisfied|47258|False
Male|Loyal Customer|60.0|Business travel|Eco|500|3|4|1|15|neutral or dissatisfied|47259|False
Male|disloyal Customer|39.0|Business travel|Eco|440|1|3|4|0|satisfied|47260|False
Male|Loyal Customer|38.0|Business travel|Business|1482|5|4|4|3|satisfied|47261|False
Male|Loyal Customer|18.0|Business travel|Eco Plus|268|3|2|2|0|neutral or dissatisfied|47262|False
Male|Loyal Customer|42.0|Business travel|Eco|957|1|4|1|0|neutral or dissatisfied|47263|False
Female|disloyal Customer|50.0|Business travel|Business|1464|4|4|3|0|neutral or dissatisfied|47264|False
Female|disloyal Customer|27.0|Business travel|Eco|305|2|3|2|0|neutral or dissatisfied|47265|False
Male|Loyal Customer|50.0|Personal Travel|Eco|991|5|5|2|25|neutral or dissatisfied|47266|False
Male|Loyal Customer|42.0|Personal Travel|Eco|1068|5|3|5|2|neutral or dissatisfied|47267|False
Female|Loyal Customer|20.0|Personal Travel|Eco|1587|3|4|3|12|neutral or dissatisfied|47268|False
Female|Loyal Customer|34.0|Business travel|Business|1994|4|4|4|0|satisfied|47269|False
Female|disloyal Customer|49.0|Business travel|Business|760|3|5|4|0|neutral or dissatisfied|47270|False
Female|Loyal Customer|52.0|Business travel|Eco|239|2|2|2|14|neutral or dissatisfied|47271|False
Female|disloyal Customer|31.0|Business travel|Eco|978|5|2|5|0|neutral or dissatisfied|47272|False
Male|Loyal Customer|50.0|Business travel|Business|2851|3|5|5|5|satisfied|47273|False
Female|Loyal Customer|42.0|Business travel|Business|2701|4|5|3|0|neutral or dissatisfied|47274|False
Female|Loyal Customer|54.0|Business travel|Business|2058|4|3|3|0|satisfied|47275|False
Female|Loyal Customer|45.0|Personal Travel|Eco|453|5|4|2|10|neutral or dissatisfied|47276|False
Male|Loyal Customer|25.0|Business travel|Business|3651|4|5|4|41|satisfied|47277|False
Female|disloyal Customer|21.0|Business travel|Eco|448|2|1|5|0|neutral or dissatisfied|47278|False
Male|Loyal Customer|41.0|Personal Travel|Eco|89|0|3|3|140|neutral or dissatisfied|47279|False
Male|Loyal Customer|66.0|Business travel|Eco|738|3|5|3|0|satisfied|47280|False
Female|disloyal Customer|43.0|Business travel|Eco|692|1|3|1|6|neutral or dissatisfied|47281|False
Male|Loyal Customer|27.0|Personal Travel|Eco|1062|5|1|2|0|satisfied|47282|False
Male|Loyal Customer|55.0|Personal Travel|Eco|2486|5|4|5|0|neutral or dissatisfied|47283|False
Male|Loyal Customer|51.0|Business travel|Eco|695|4|3|3|91|satisfied|47284|False
Male|Loyal Customer|32.0|Business travel|Business|626|4|5|5|0|satisfied|47285|False
Female|Loyal Customer|30.0|Personal Travel|Eco|985|1|5|4|0|neutral or dissatisfied|47286|False
Female|Loyal Customer|9.0|Business travel|Eco|2218|2|2|4|34|neutral or dissatisfied|47287|False
Female|Loyal Customer|66.0|Personal Travel|Eco|948|2|4|2|82|neutral or dissatisfied|47288|False
Female|disloyal Customer|38.0|Business travel|Eco Plus|954|4|1|3|0|neutral or dissatisfied|47289|False
Female|disloyal Customer|26.0|Business travel|Business|216|5|3|2|15|neutral or dissatisfied|47290|False
Female|Loyal Customer|66.0|Personal Travel|Business|759|2|3|2|12|neutral or dissatisfied|47291|False
Male|Loyal Customer|15.0|Business travel|Eco|787|4|5|1|0|satisfied|47292|False
Male|Loyal Customer|41.0|Personal Travel|Eco|240|5|3|2|0|neutral or dissatisfied|47293|False
Male|Loyal Customer|48.0|Business travel|Eco Plus|304|3|2|3|33|neutral or dissatisfied|47294|False
Female|disloyal Customer|28.0|Business travel|Business|2106|2|3|4|0|satisfied|47295|False
Male|Loyal Customer|49.0|Business travel|Business|3719|5|5|5|0|satisfied|47296|False
Male|Loyal Customer|34.0|Business travel|Business|2324|5|5|5|99|satisfied|47297|False
Male|Loyal Customer|48.0|Business travel|Business|1747|3|4|4|0|satisfied|47298|False
Female|Loyal Customer|62.0|Business travel|Business|399|1|4|4|0|satisfied|47299|False
Female|Loyal Customer|49.0|Business travel|Business|2322|2|3|0|19|neutral or dissatisfied|47300|False
Female|disloyal Customer|25.0|Business travel|Business|303|5|4|4|0|satisfied|47301|False
Male|Loyal Customer|41.0|Business travel|Business|1236|2|5|5|0|satisfied|47302|False
Male|Loyal Customer|43.0|Personal Travel|Eco|836|3|3|5|0|neutral or dissatisfied|47303|False
Female|Loyal Customer|43.0|Business travel|Business|2466|2|4|4|0|satisfied|47304|False
Male|Loyal Customer|53.0|Business travel|Business|469|2|3|4|3|satisfied|47305|False
Female|disloyal Customer|27.0|Business travel|Business|220|3|3|2|11|satisfied|47306|False
Male|Loyal Customer|45.0|Personal Travel|Eco|578|3|1|1|0|neutral or dissatisfied|47307|False
Female|Loyal Customer|45.0|Business travel|Eco|566|2|1|1|0|neutral or dissatisfied|47308|False
Male|Loyal Customer|40.0|Business travel|Business|2404|5|4|4|0|satisfied|47309|False
Male|Loyal Customer|41.0|Personal Travel|Eco Plus|562|2|5|2|69|neutral or dissatisfied|47310|False
Female|Loyal Customer|55.0|Business travel|Business|1660|3|5|5|0|satisfied|47311|False
Female|disloyal Customer|23.0|Business travel|Eco|328|3|2|5|0|neutral or dissatisfied|47312|False
Male|Loyal Customer|69.0|Personal Travel|Eco|157|2|4|4|0|neutral or dissatisfied|47313|False
Male|Loyal Customer|55.0|Business travel|Eco|588|4|2|5|26|satisfied|47314|False
Male|Loyal Customer|53.0|Business travel|Eco|238|2|4|1|93|satisfied|47315|False
Male|Loyal Customer|39.0|Business travel|Business|3868|2|1|2|3|satisfied|47316|False
Female|Loyal Customer|34.0|Business travel|Business|368|3|2|2|44|neutral or dissatisfied|47317|False
Female|disloyal Customer|8.0|Business travel|Eco|846|4|2|1|16|neutral or dissatisfied|47318|False
Male|disloyal Customer|25.0|Business travel|Eco|1652|5|3|1|0|neutral or dissatisfied|47319|False
Male|disloyal Customer|24.0|Business travel|Eco|919|2|3|4|0|neutral or dissatisfied|47320|False
Female|Loyal Customer|53.0|Business travel|Business|544|4|2|2|31|satisfied|47321|False
Female|Loyal Customer|66.0|Personal Travel|Eco|405|2|3|3|0|neutral or dissatisfied|47322|False
Male|Loyal Customer|44.0|Business travel|Business|3343|2|5|5|0|satisfied|47323|False
Female|Loyal Customer|27.0|Personal Travel|Eco|86|4|4|1|0|neutral or dissatisfied|47324|False
Female|Loyal Customer|60.0|Business travel|Business|1440|3|4|4|0|satisfied|47325|False
Female|Loyal Customer|53.0|Personal Travel|Eco|859|5|4|3|23|neutral or dissatisfied|47326|False
Male|Loyal Customer|54.0|Personal Travel|Eco|395|2|5|3|0|neutral or dissatisfied|47327|False
Female|Loyal Customer|43.0|Business travel|Business|2269|2|5|5|0|satisfied|47328|False
Male|Loyal Customer|57.0|Business travel|Business|1533|3|2|2|0|satisfied|47329|False
Male|Loyal Customer|55.0|Personal Travel|Eco|166|2|5|5|41|neutral or dissatisfied|47330|False
Male|Loyal Customer|55.0|Business travel|Business|3101|2|5|5|0|satisfied|47331|False
Male|Loyal Customer|45.0|Business travel|Business|1593|2|2|3|10|satisfied|47332|False
Male|Loyal Customer|50.0|Business travel|Business|2330|2|3|3|95|satisfied|47333|False
Male|Loyal Customer|26.0|Personal Travel|Eco|1111|4|5|2|0|neutral or dissatisfied|47334|False
Male|Loyal Customer|38.0|Business travel|Eco Plus|413|4|5|3|0|satisfied|47335|False
Female|Loyal Customer|48.0|Business travel|Eco|351|4|3|3|0|satisfied|47336|False
Male|Loyal Customer|49.0|Business travel|Eco|251|2|3|2|0|neutral or dissatisfied|47337|False
Male|Loyal Customer|39.0|Business travel|Business|468|2|4|4|4|satisfied|47338|False
Female|Loyal Customer|39.0|Business travel|Business|451|3|4|4|0|satisfied|47339|False
Male|Loyal Customer|12.0|Business travel|Business|611|5|5|3|0|satisfied|47340|False
Male|Loyal Customer|46.0|Business travel|Eco|996|2|2|3|18|satisfied|47341|False
Female|Loyal Customer|61.0|Personal Travel|Eco|2454|3|3|5|0|neutral or dissatisfied|47342|False
Male|Loyal Customer|58.0|Business travel|Business|3138|2|4|4|0|satisfied|47343|False
Female|Loyal Customer|43.0|Business travel|Business|1676|5|5|5|3|satisfied|47344|False
Male|Loyal Customer|35.0|Personal Travel|Eco|650|5|2|2|0|neutral or dissatisfied|47345|False
Male|Loyal Customer|47.0|Business travel|Business|2693|2|1|1|5|neutral or dissatisfied|47346|False
Female|disloyal Customer|64.0|Business travel|Eco|936|5|4|2|0|neutral or dissatisfied|47347|False
Female|Loyal Customer|42.0|Business travel|Eco Plus|1026|3|2|2|52|neutral or dissatisfied|47348|False
Male|Loyal Customer|35.0|Business travel|Eco Plus|802|3|1|1|60|neutral or dissatisfied|47349|False
Male|disloyal Customer|17.0|Business travel|Eco|628|5|4|4|3|neutral or dissatisfied|47350|False
Male|Loyal Customer|63.0|Personal Travel|Eco|395|1|4|2|19|neutral or dissatisfied|47351|False
Male|Loyal Customer|48.0|Personal Travel|Eco Plus|1399|1|3|3|38|neutral or dissatisfied|47352|False
Male|Loyal Customer|17.0|Personal Travel|Eco|224|4|4|4|58|neutral or dissatisfied|47353|False
Female|Loyal Customer|20.0|Business travel|Business|883|4|4|5|20|neutral or dissatisfied|47354|False
Male|Loyal Customer|29.0|Business travel|Business|2173|4|4|5|0|satisfied|47355|False
Male|Loyal Customer|40.0|Personal Travel|Eco|296|5|4|4|42|neutral or dissatisfied|47356|False
Female|Loyal Customer|38.0|Business travel|Eco|302|3|2|4|0|satisfied|47357|False
Male|Loyal Customer|64.0|Personal Travel|Eco|650|5|3|5|0|neutral or dissatisfied|47358|False
Male|Loyal Customer|10.0|Personal Travel|Eco|201|1|1|4|0|neutral or dissatisfied|47359|False
Male|Loyal Customer|70.0|Personal Travel|Eco|1205|2|4|1|13|neutral or dissatisfied|47360|False
Female|disloyal Customer|37.0|Business travel|Eco|577|5|5|5|0|neutral or dissatisfied|47361|False
Female|Loyal Customer|60.0|Business travel|Business|325|4|5|5|17|satisfied|47362|False
Female|disloyal Customer|26.0|Business travel|Eco|301|4|2|1|4|neutral or dissatisfied|47363|False
Female|Loyal Customer|38.0|Personal Travel|Eco|341|4|2|5|9|neutral or dissatisfied|47364|False
Female|Loyal Customer|31.0|Business travel|Business|594|4|3|3|0|neutral or dissatisfied|47365|False
Female|Loyal Customer|43.0|Business travel|Eco|270|1|1|1|0|neutral or dissatisfied|47366|False
Male|Loyal Customer|18.0|Personal Travel|Eco|483|2|1|2|53|neutral or dissatisfied|47367|False
Male|Loyal Customer|40.0|Business travel|Eco|954|5|1|3|105|satisfied|47368|False
Female|Loyal Customer|32.0|Business travel|Business|2994|4|2|5|43|satisfied|47369|False
Male|Loyal Customer|25.0|Business travel|Business|2685|5|4|4|175|satisfied|47370|False
